input,labels,input_len,preprocessed
Some people think that a serious nuclear power plant accident could happen somewhere at some time and that nuclear power stations should be got rid of .,1,27,Some people think that a serious nuclear power plant accident could happen somewhere at some time and that nuclear power station should be got rid of .
But I became to know that I have always get on and off bus stop ago .,0,17,But I became to know that I have always get on and off bus stop ago .
"Of course , I am also without the exception of fantasy .",0,12,"Of course , I am also without the exception of fantasy ."
"However , this is a great challenge .",1,8,"However , this is a great challenge ."
It is no problem ,0,5,It is no problem 
What we lie to other peoples,0,6,What we lie to other people
I study English .,0,4,I study English .
She went to eat crab meat with a crab .,1,10,She went to eat crab meat with a crab .
I keep loving sumo and the wrestlers no matter how media blame them .,0,14,I keep loving sumo and the wrestler no matter how medium blame them .
I think it is a great way !,0,8,I think it is a great way !
All of them were beautiful .,1,6,All of them were beautiful .
"On the school way , he found",0,7,"On the school way , he found"
There are far fewer tourists than in Saipan or Guam .,1,11,There are far fewer tourist than in Saipan or Guam .
And I felt moving .,0,5,And I felt moving .
"But , the national football game , between Japan and Korea , will be held today .",1,17,"But , the national football game , between Japan and Korea , will be held today ."
My bicycle broke down this morning .,1,7,My bicycle broke down this morning .
Why lady ?,1,3,Why lady ?
So I could not do it .,1,7,So I could not do it .
Japanese people,0,2,Japanese people
I was really depressed .,1,5,I wa really depressed .
I am in college right now .,1,7,I am in college right now .
My sam is addicted to it .,1,7,My sam is addicted to it .
I have to study for my job and I want to study English and other things .,0,17,I have to study for my job and I want to study English and other thing .
"In , the annual sales of PCs in the Japanese market were almost .",1,14,"In , the annual sale of PCs in the Japanese market were almost ."
I have finished watching season .,1,6,I have finished watching season .
but I am doing it in order to study abroad !,1,11,but I am doing it in order to study abroad !
"By the way , my father died today .",1,9,"By the way , my father died today ."
I think that it is a problem .,1,8,I think that it is a problem .
 We never go out translated into Martian means I feel like going out and doing something together .,1,19, We never go out translated into Martian mean I feel like going out and doing something together .
"And , I also used to play with them .",0,10,"And , I also used to play with them ."
It was a fantasy like a fairy tale .,0,9,It wa a fantasy like a fairy tale .
The greatest problem is that both seem too dry to me .,0,12,The greatest problem is that both seem too dry to me .
Now I am writing the report about it .,0,9,Now I am writing the report about it .
"A Hey , what do you think about doctors who fall in love with their patients ? ",1,18,"A Hey , what do you think about doctor who fall in love with their patient ? "
And this week is Wednesday is a holiday in Russia .,0,11,And this week is Wednesday is a holiday in Russia .
"With practice more and more , then she will get better !",0,12,"With practice more and more , then she will get better !"
There are a lot of fans with cute designs in the store .,1,13,There are a lot of fan with cute design in the store .
i hope whole year will be the same like the weather today .,0,13,i hope whole year will be the same like the weather today .
"Anyway , I finally start to work there , in Busan .",0,12,"Anyway , I finally start to work there , in Busan ."
f - hot summer,0,4,f - hot summer
He sent me e - mail just now .,0,9,He sent me e - mail just now .
which information is true ?,0,5,which information is true ?
"At the beginning of my class , sometimes I think why you are a little bit shy to open your month .",1,22,"At the beginning of my class , sometimes I think why you are a little bit shy to open your month ."
So I had to focus on saving money for me .,1,11,So I had to focus on saving money for me .
I have to study deadly hard to get myself standing out from thousands of competitors .,1,16,I have to study deadly hard to get myself standing out from thousand of competitor .
I like cats .,1,4,I like cat .
i did take some classes learning japanese,0,7,i did take some class learning japanese
I was surprised that the men group order beers .,0,10,I wa surprised that the men group order beer .
I am a medical student and I am in my fifth years .,0,13,I am a medical student and I am in my fifth year .
I also love the heavy rain that usually comes with a thunderstorm .,0,13,I also love the heavy rain that usually come with a thunderstorm .
"Our brain is activated more , not only when we write words and sentences .",1,15,"Our brain is activated more , not only when we write word and sentence ."
Situation before I explain about the study .,1,8,Situation before I explain about the study .
"Today , I was given the souvenir from my friend who returned from a trip .",0,16,"Today , I wa given the souvenir from my friend who returned from a trip ."
The main actor and the main actress are nice .,1,10,The main actor and the main actress are nice .
He was known for his unique illustrations .,0,8,He wa known for his unique illustration .
"Judging from their appearance , I guessed that they were Muslims .",1,12,"Judging from their appearance , I guessed that they were Muslims ."
